model,MAE,RMSE,R2,BAG_AGE_r
Extra Trees,5.964758689774153,7.126341269993024,0.04879481455347179,-0.11279536053846188
Dummy mean age,5.893474038511414,7.32090743200359,-0.0038545868478636613,
